"Classe","Arquivo"
"metric-card","src\modules\gases\content.js"
"metric-card","src\modules\opacidade\content.js"
"metric-card","src\modules\produtos-perigosos\content.js"
"metric-card","src\modules\suspensao\content.js"
"metric-card__description","src\modules\suspensao\content.js"
"metric-card__label","src\modules\suspensao\content.js"
"metric-card__unit","src\modules\suspensao\content.js"
"metric-card__value","src\modules\suspensao\content.js"
"metric-grid","src\modules\gases\content.js"
"metric-grid","src\modules\opacidade\content.js"
"metric-grid","src\modules\produtos-perigosos\content.js"
"metrics-grid","src\modules\suspensao\content.js"
"metrics-grid--3","src\modules\suspensao\content.js"
"metrics-grid--4","src\modules\suspensao\content.js"
"metric-strip","src\modules\gases\content.js"
"metric-strip","src\modules\opacidade\content.js"
"metric-strip","src\modules\produtos-perigosos\content.js"
"module-card","src\components\module-card.js"
"module-code","src\components\module-card.js"
"module-grid","src\app\views\cases-view.js"
"module-grid","src\app\views\home-view.js"
"module-hero","src\app\views\module-view.js"
"module-hero","src\modules\frenagem\sections\hero.js"
"module-hero","src\modules\suspensao\content.js"
"module-hero","src\modules\template\content.js"
"module-hero","src\modules\template\index.js"
"module-hero","src\modules\template\section\hero.js"
"module-hero","src\modules\template\section\sintese.js"
"module-hero","src\modules\template\simulation.js"
"module-hero__actions","src\modules\suspensao\content.js"
"module-hero__actions","src\modules\template\content.js"
"module-hero__actions","src\modules\template\index.js"
"module-hero__actions","src\modules\template\section\hero.js"
"module-hero__actions","src\modules\template\section\sintese.js"
"module-hero__actions","src\modules\template\simulation.js"
"module-hero__background","src\modules\frenagem\sections\hero.js"
"module-hero__closing","src\modules\frenagem\sections\hero.js"
"module-hero__closing-text","src\modules\frenagem\sections\hero.js"
"module-hero__container","src\modules\frenagem\sections\hero.js"
"module-hero__content","src\modules\suspensao\content.js"
"module-hero__content","src\modules\template\content.js"
"module-hero__content","src\modules\template\index.js"
"module-hero__content","src\modules\template\section\hero.js"
"module-hero__content","src\modules\template\section\sintese.js"
"module-hero__content","src\modules\template\simulation.js"
"module-hero__context","src\modules\frenagem\sections\hero.js"
"module-hero__copy","src\modules\suspensao\content.js"
"module-hero__copy","src\modules\template\content.js"
"module-hero__copy","src\modules\template\index.js"
"module-hero__copy","src\modules\template\section\hero.js"
"module-hero__copy","src\modules\template\section\sintese.js"
"module-hero__copy","src\modules\template\simulation.js"
"module-hero__eyebrow","src\modules\frenagem\sections\hero.js"
"module-hero__eyebrow","src\modules\suspensao\content.js"
"module-hero__eyebrow","src\modules\template\content.js"
"module-hero__eyebrow","src\modules\template\index.js"
"module-hero__eyebrow","src\modules\template\section\hero.js"
"module-hero__eyebrow","src\modules\template\section\sintese.js"
"module-hero__eyebrow","src\modules\template\simulation.js"
"module-hero__footer","src\modules\frenagem\sections\hero.js"
"module-hero__grid","src\modules\frenagem\sections\hero.js"
"module-hero__header","src\modules\frenagem\sections\hero.js"
"module-hero__highlights","src\modules\suspensao\content.js"
"module-hero__highlights","src\modules\template\content.js"
"module-hero__highlights","src\modules\template\index.js"
"module-hero__highlights","src\modules\template\section\hero.js"
"module-hero__highlights","src\modules\template\section\sintese.js"
"module-hero__highlights","src\modules\template\simulation.js"
"module-hero__lead","src\modules\frenagem\sections\hero.js"
"module-hero__lead","src\modules\suspensao\content.js"
"module-hero__lead","src\modules\template\content.js"
"module-hero__lead","src\modules\template\index.js"
"module-hero__lead","src\modules\template\section\hero.js"
"module-hero__lead","src\modules\template\section\sintese.js"
"module-hero__lead","src\modules\template\simulation.js"
"module-hero__narrative","src\modules\frenagem\sections\hero.js"
"module-hero__notice","src\modules\suspensao\content.js"
"module-hero__notice","src\modules\template\content.js"
"module-hero__notice","src\modules\template\index.js"
"module-hero__notice","src\modules\template\section\hero.js"
"module-hero__notice","src\modules\template\section\sintese.js"
"module-hero__notice","src\modules\template\simulation.js"
"module-hero__objectives","src\modules\suspensao\content.js"
"module-hero__objectives","src\modules\template\content.js"
"module-hero__objectives","src\modules\template\index.js"
"module-hero__objectives","src\modules\template\section\hero.js"
"module-hero__objectives","src\modules\template\section\sintese.js"
"module-hero__objectives","src\modules\template\simulation.js"
"module-hero__overlay","src\modules\frenagem\sections\hero.js"
"module-hero__panel","src\modules\suspensao\content.js"
"module-hero__panel","src\modules\template\content.js"
"module-hero__panel","src\modules\template\index.js"
"module-hero__panel","src\modules\template\section\hero.js"
"module-hero__panel","src\modules\template\section\sintese.js"
"module-hero__panel","src\modules\template\simulation.js"
"module-hero__panel-title","src\modules\suspensao\content.js"
"module-hero__panel-title","src\modules\template\content.js"
"module-hero__panel-title","src\modules\template\index.js"
"module-hero__panel-title","src\modules\template\section\hero.js"
"module-hero__panel-title","src\modules\template\section\sintese.js"
"module-hero__panel-title","src\modules\template\simulation.js"
"module-hero__start","src\modules\frenagem\sections\hero.js"
"module-hero__title","src\modules\frenagem\sections\hero.js"
"module-hero__title","src\modules\suspensao\content.js"
"module-hero__title","src\modules\template\content.js"
"module-hero__title","src\modules\template\index.js"
"module-hero__title","src\modules\template\section\hero.js"
"module-hero__title","src\modules\template\section\sintese.js"
"module-hero__title","src\modules\template\simulation.js"
"module-hero--braking","src\modules\frenagem\sections\hero.js"
"module-highlight-card","src\modules\suspensao\content.js"
"module-highlight-card","src\modules\template\content.js"
"module-highlight-card","src\modules\template\index.js"
"module-highlight-card","src\modules\template\section\hero.js"
"module-highlight-card","src\modules\template\section\sintese.js"
